model,accuracy,balanced_accuracy,macro_F1,weighted_F1,cohen_kappa
SVR,0.7863636363636364,0.7859126984126984,0.7884177789965504,0.7917761746362516,0.6801072496648448
PLSR,0.7681818181818182,0.7660714285714286,0.7691844553913519,0.7736154649947752,0.6526315789473685
ANN,0.7484848484848485,0.7444444444444445,0.7475088264561949,0.7523811913764067,0.6224152191894128
CNN1D,0.4666666666666667,0.4664682539682539,0.46431921896702316,0.4687678478651753,0.20476483877592933
CNN1D_FLAT,0.7424242424242424,0.7371031746031745,0.7401069911804891,0.7457002140694142,0.6130367304707709
CNN1D_GAP_POS,0.4287878787878788,0.4317460317460317,0.41949521852236127,0.4219326303881581,0.15090090090090091
BiLSTM,0.4681818181818182,0.467063492063492,0.4497889771598808,0.45464419517920013,0.20522848909016056
LSTM,0.4484848484848485,0.4527777777777778,0.3974686121816095,0.40148711645584045,0.18168812589413452
SimpleRNN,0.37575757575757573,0.3823412698412698,0.27889249763176244,0.28201379208530764,0.07623318385650224
