model,slope_pred_on_obs,slope_pred_on_obs_CI_low,slope_pred_on_obs_CI_high,slope_obs_on_pred,slope_obs_on_pred_CI_low,slope_obs_on_pred_CI_high,intercept_pred_on_obs,intercept_pred_on_obs_CI_low,intercept_pred_on_obs_CI_high,intercept_obs_on_pred,intercept_obs_on_pred_CI_low,intercept_obs_on_pred_CI_high,line_R2,line_R2_CI_low,line_R2_CI_high,pooled_R2,pooled_R2_CI_low,pooled_R2_CI_high,bias,bias_CI_low,bias_CI_high,slope_obs_on_pred_minus_1
SVR,0.8545994385672824,0.8239727566420806,0.8847317600983999,0.9581253710020629,0.923703845307343,0.9949593209912871,1.6745975268251598,1.1826455806037433,2.166523388592306,0.2979848799094693,-0.2576364623110753,0.7872231359688341,0.8188134041354321,0.7949983444750524,0.8435942615481308,0.8167059823717481,0.7893394166181936,0.8413071911106833,0.14789163178162448,-0.31253584752502594,0.6072765808439856,-0.04187462899793715
PLSR,0.84542888175666,0.8200289040597168,0.8718832287920744,0.9450339586361017,0.8988794934849543,0.9938226866198493,1.6291845593738596,1.117496035942774,2.1392290460206564,0.5712957363523223,-0.032213795339370584,1.1170791309303931,0.7989590028717891,0.7662996661873958,0.8309150306645998,0.7962552224889325,0.754756359359851,0.8295485990671834,0.006187817818789579,-0.5055181514327632,0.5521121175203092,-0.054966041363898266
ANN,0.8226300008415958,0.7874086889192959,0.8597092805168174,0.9516809693596471,0.8952071719220773,1.008983807342268,1.7036815000564633,1.3635801957168592,2.0488555343103916,0.6583849139809672,0.16265670032478868,1.100364021807067,0.7828813166252572,0.7475683919939706,0.8175651368447302,0.7802374255903238,0.7367178135539351,0.8157975122995542,-0.15870349110677986,-0.6635213685611432,0.37409204075526853,-0.04831903064035292
CNN1D,0.3467204537913666,0.2728640244985203,0.41895661390657124,0.7237802435293466,0.5538006044709801,0.962971565753318,6.881906560026714,5.517563563178427,8.286707787767648,2.884043141979588,0.5140824171593579,4.523476407491211,0.25094941448172087,0.16544586677427742,0.3734469868469935,0.21438730374469395,0.04573495960965766,0.3639873189699039,0.022471324836063882,-1.016640361535617,1.121712705093351,-0.27621975647065344
CNN1D_FLAT,0.7712638373922165,0.7336423090142559,0.8103703728079125,0.9726791434163475,0.8818212447285529,1.0611947132390995,2.0423666900860695,1.569192640670921,2.533224640314832,0.6364139059670038,-0.0908912258137782,1.2706363970602286,0.7501922487026664,0.697434993457336,0.8010052868495583,0.746391893232421,0.6838384204459809,0.7917004348678971,-0.3593630172956566,-0.8939512090258662,0.2677096394528606,-0.027320856583652464
CNN1D_GAP_POS,0.2635283040843215,0.21558691211112682,0.31189748367104264,0.760068546607044,0.5678161071444662,1.05938664938143,8.42775147277119,7.23050392540426,9.656717413396791,1.9911856486359394,-1.667529217691986,4.247588290095326,0.2002995750751894,0.1292722517946991,0.31115327122727254,0.16834644179201064,0.03134906275716242,0.29666867847325024,0.6947986656565655,-0.3339951084280304,1.7216211127878787,-0.23993145339295596
BiLSTM,0.2865093796129444,0.2432451703857047,0.3299371925730893,0.8333957953051779,0.6358025454052718,1.144672222411591,7.063851774823235,6.038148029325764,8.122475216210946,2.105870653211607,-1.3261828921563499,4.210214852524902,0.23877571228492292,0.16339766802916453,0.3587100172253375,0.22468637459952046,0.09467135365460069,0.3472484292420658,-0.4277997392408474,-1.4168897900180983,0.5654298175591969,-0.16660420469482207
LSTM,0.21507114198383015,0.17999139132716363,0.25164484578288027,1.0746107554082238,0.9227378001671954,1.246829220810521,8.016798693179876,7.411080785609152,8.608347902452023,-0.5416746043480938,-2.324834837131377,1.0713332960265478,0.23111776235375311,0.17410686629356573,0.29504188558654243,0.22874638430328864,0.17088831849950498,0.283768000531322,-0.22495431598990848,-0.6679594019160727,0.2067477030615613,0.07461075540822382
SimpleRNN,0.17509521006812367,0.14446896572909634,0.20669451974739472,1.0752885506560823,0.8299076089041972,1.4211715676022971,8.835449985697126,8.089901915164333,9.598208168225955,-0.9775758934548033,-4.889460135020426,1.7824067146168556,0.188277874660975,0.12710206507101507,0.2774762335704346,0.18660309929450014,0.11858759187511318,0.25357003665362615,0.1739496914124248,-0.4258104652730805,0.7530835780885182,0.07528855065608231
