model,MAE_eggdisjoint,MAE_rowlevel,RMSE_eggdisjoint,RMSE_rowlevel,R2_eggdisjoint,R2_rowlevel,MAE_optimism_gap_days,MAE_relative_reduction_pct,R2_inflation
CNN1D,4.571914652930667,4.41166797509091,5.623247373562368,5.341208973097545,0.21438730374469395,0.29121706101123657,0.16024667783975755,3.505023387456215,0.07682975726654262
CNN1D_FLAT,2.4688592708376764,2.179084698552525,3.194953254336447,2.82818264749764,0.746391893232421,0.8012765940967265,0.28977457228515124,11.737184687194892,0.054884700864305414
CNN1D_GAP_POS,4.766388233131313,4.298813192383838,5.785676772675049,5.196127123491659,0.16834644179201064,0.3291990786711626,0.4675750407474757,9.809839607637226,0.16085263687915197
