model,original_MAE,reversed_MAE,MAE_shuffled_52026,MAE_shuffled_11017,MAE_shuffled_24601,MAE_shuffled_73819,MAE_shuffled_90210,shuffled_min,shuffled_max,n_shuffles_worse_than_original,n_shuffles
CNN1D,4.62846993476604,4.600099395251011,4.508921464670554,4.531687327803029,4.555767887489899,4.520847047309596,4.541291642015152,4.508921464670554,4.555767887489899,0,5
CNN1D_FLAT,2.659026739938687,2.671012660786363,3.4014396096161614,3.722124788782323,3.548775079908586,3.4251696023686873,3.4869103746106065,3.4014396096161614,3.722124788782323,5,5
