model,MAE_days,RMSE_days,R2,bias_days,median_AE_days,within_1d_pct,within_2d_pct,within_3d_pct,MAE_CI_low,MAE_CI_high,RMSE_CI_low,RMSE_CI_high,R2_CI_low,R2_CI_high
SVR,2.194627734359565,2.716170872669306,0.8167059823717481,0.14789163178162448,1.9545671077685967,27.727272727272727,50.90909090909091,73.03030303030303,2.027258841211245,2.3706245742609395,2.527327750115048,2.911887442822849,0.7893394166181936,0.8413071911106833
PLSR,2.267298150421753,2.863691201023683,0.7962552224889325,0.006187817818789579,1.8698614057252767,25.90909090909091,52.87878787878788,70.9090909090909,2.0836766375522733,2.4901637284478246,2.6192878588324793,3.1418237594109324,0.754756359359851,0.8295485990671834
ANN,2.2889400289967807,2.9741290523427972,0.7802374255903238,-0.15870349110677986,1.8358753124872846,30.454545454545457,53.939393939393945,70.3030303030303,2.0960452879242824,2.519130629513488,2.722893705209844,3.2553199541070907,0.7367178135539351,0.8157975122995542
CNN1D,4.571914652930667,5.623247373562368,0.21438730374469395,0.022471324836063882,4.001829783121745,12.727272727272727,25.151515151515152,40.15151515151515,4.092267169950135,5.088247695776324,5.059595874273936,6.197513039473961,0.04573495960965766,0.3639873189699039
CNN1D_FLAT,2.4688592708376764,3.194953254336447,0.746391893232421,-0.3593630172956566,1.9977287666666665,27.575757575757574,50.0,68.18181818181817,2.2412799832919594,2.7674406319673532,2.8955236997875313,3.5672823797730375,0.6838384204459809,0.7917004348678971
CNN1D_GAP_POS,4.766388233131313,5.785676772675049,0.16834644179201064,0.6947986656565655,4.247050966666668,11.212121212121213,23.78787878787879,34.39393939393939,4.388275056589647,5.145647919035353,5.320628315332162,6.244053188582812,0.03134906275716242,0.29666867847325024
