model,MAE_days,MAE_CI_low,MAE_CI_high,RMSE_days,RMSE_CI_low,RMSE_CI_high,R2,R2_CI_low,R2_CI_high
SVR,2.194627734359565,2.027258841211245,2.37062457426094,2.716170872669306,2.527327750115048,2.9118874428228496,0.8167059823717481,0.7893394166181935,0.8413071911106833
PLSR,2.267298150421753,2.083676637552274,2.4901637284478246,2.863691201023683,2.6192878588324793,3.141823759410932,0.7962552224889325,0.754756359359851,0.8295485990671834
ANN,2.2889400289967807,2.096045287924282,2.5191306295134885,2.9741290523427972,2.722893705209844,3.2553199541070903,0.7802374255903238,0.7367178135539353,0.8157975122995542
BiLSTM,4.5584943291778215,4.228118910997579,4.895744258791604,5.586266501194631,5.125743915886761,6.036512073559964,0.22468637459952046,0.09467135365460048,0.3472484292420658
CNN1D,4.571914652930667,4.092267169950135,5.088247695776323,5.623247373562368,5.059595874273936,6.197513039473962,0.21438730374469395,0.04573495960965756,0.3639873189699039
LSTM,4.70992559339061,4.516948964997673,4.910555839257109,5.57162077243172,5.369202731797921,5.776828297084352,0.22874638430328864,0.1708883184995051,0.283768000531322
SimpleRNN,4.878542408828783,4.672197279596721,5.079178302908185,5.721820099705719,5.481223040884988,5.9562445741318095,0.18660309929450014,0.1185875918751133,0.25357003665362615
