model,from_n,to_n,MAE_from,MAE_to,relative_reduction,CI_low,CI_high
PLSR,12,24,2.458191298980205,2.267263937038256,0.07766985507643609,0.04358634248431834,0.10989340331034451
SVR,12,24,2.532065421020032,2.192715625181815,0.13402094314826643,0.061788424329259566,0.2072744181901765
ANN,12,24,2.9030228045851514,2.370267708003031,0.18351736532715673,0.1225420239876615,0.2453733404968501
CNN1D,12,24,4.594802370386869,4.4864166459696975,0.02358876741156682,-0.022213106834729386,0.07100271455857128
CNN1D_FLAT,12,24,3.096071355923232,2.724867728272727,0.11989504923403611,0.02069863555900365,0.20492345068655088
LSTM,12,24,4.909769877378788,4.764543036287879,0.029579154363226945,0.0063458556278532495,0.05274850063029429
